"CurrentName","DNVoucher","Provenance","RowNum","YearPlanted","TreeNum","RowTree","FieldID"
"Eucalyptus herbertiana","DN 2482","Nourlangie Rock, NT",167,1999,1,"R167/T01","CCA3352"
"Eucalyptus herbertiana","DN 2482","Nourlangie Rock, NT",167,1999,2,"R167/T02","CCA3353"
"Corymbia xanthope","DN 2543","Marlborough, Qld",167,1999,6,"R167/T06","CCA3354"
"Corymbia xanthope","DN 2543","Marlborough, Qld",167,1999,7,"R167/T07","CCA3355"
"Eucalyptus umbrawarrensis","DN 2458","Pine Creek, NT",167,1999,8,"R167/T08","CCA3356"
"Eucalyptus umbrawarrensis","DN 2458","Pine Creek, NT",167,1999,10,"R167/T10","CCA3357"
"Eucalyptus apodophylla","DN 2456","Pine Creek, NT",167,1999,19,"R167/T19","CCA3358"
"Eucalyptus apodophylla","DN 2456","Pine Creek, NT",167,1999,20,"R167/T20","CCA3359"
"Eucalyptus fibrosa","DN 2544","Marlborough, Qld",167,1999,22,"R167/T22","CCA3360"
"Eucalyptus fibrosa","DN 2544","Marlborough, Qld",167,1999,23,"R167/T23","CCA3361"
"Eucalyptus fibrosa x E. ?platyphylla","DN 2544","Marlborough, Qld",167,1999,25,"R167/T25","CCA3362"
"Eucalyptus obstans","DN 620","Royal Nat. Park, NSW",167,1999,26,"R167/T26","CCA3363"
"Eucalyptus obstans","DN 620","Royal Nat. Park, NSW",167,1999,27,"R167/T27","CCA3364"
"Eucalyptus koolpinensis","DN 2486","Kakadu Nat. Park, NT",167,1999,28,"R167/T28","CCA3365"
"Eucalyptus koolpinensis","DN 2486","Kakadu Nat. Park, NT",167,1999,30,"R167/T30","CCA3366"
"Corymbia watsoniana subsp. capillata","DN 2547","Expedition Range, Qld",168,1999,1,"R168/T01","CCA3367"
"Corymbia watsoniana subsp. capillata","DN 2547","Expedition Range, Qld",168,1999,2,"R168/T02","CCA3368"
"Corymbia watsoniana subsp. capillata","DN 2547","Expedition Range, Qld",168,1999,3,"R168/T03","CCA3369"
"Corymbia watsoniana subsp. capillata","DN 2547","Expedition Range, Qld",168,1999,4,"R168/T04","CCA3370"
"Corymbia ligans subsp. ligans","DN 2527","Greenvale, Qld",168,1999,5,"R168/T05","CCA3371"
"Corymbia ligans subsp. ligans","DN 2527","Greenvale, Qld",168,1999,6,"R168/T06","CCA3372"
"Eucalyptus drepanophylla","DN 2532","Lolworth Range, Qld",168,1999,7,"R168/T07","CCA3373"
"Eucalyptus drepanophylla","DN 2532","Lolworth Range, Qld",168,1999,8,"R168/T08","CCA3374"
"Eucalyptus drepanophylla","DN 2532","Lolworth Range, Qld",168,1999,9,"R168/T09","CCA3375"
